"Run","Run ID","metric","step","timestamp","value"
"large_20251215_095952","5c48ae05ed934b9a80b3a3e76b3dd89e","train_loss","0","1765782713137","0.05374914165643195"
"large_20251215_095952","5c48ae05ed934b9a80b3a3e76b3dd89e","train_loss","0","1765782713137","0.05374914165643195"
"large_20251215_095952","5c48ae05ed934b9a80b3a3e76b3dd89e","train_loss","1","1765783455822","0.03461891151423529"
"large_20251215_095952","5c48ae05ed934b9a80b3a3e76b3dd89e","train_loss","2","1765784182860","0.028740824694355054"
"large_20251215_095952","5c48ae05ed934b9a80b3a3e76b3dd89e","train_loss","3","1765784937899","0.026536537432581733"
"large_20251215_095952","5c48ae05ed934b9a80b3a3e76b3dd89e","train_loss","4","1765785666545","0.024583779448438266"
"large_20251215_095952","5c48ae05ed934b9a80b3a3e76b3dd89e","train_loss","5","1765786398948","0.023238176853746313"
"large_20251215_095952","5c48ae05ed934b9a80b3a3e76b3dd89e","train_loss","6","1765787152845","0.021829169834551007"
"large_20251215_095952","5c48ae05ed934b9a80b3a3e76b3dd89e","train_loss","7","1765787886437","0.02146428708123778"
"large_20251215_095952","5c48ae05ed934b9a80b3a3e76b3dd89e","train_loss","8","1765788609636","0.020817083720294387"
"large_20251215_095952","5c48ae05ed934b9a80b3a3e76b3dd89e","train_loss","9","1765789369036","0.019437552230369973"
"large_20251215_095952","5c48ae05ed934b9a80b3a3e76b3dd89e","train_loss","10","1765790111717","0.018724772472515566"
"large_20251215_095952","5c48ae05ed934b9a80b3a3e76b3dd89e","train_loss","11","1765790862662","0.018281620581113142"
"large_20251215_095952","5c48ae05ed934b9a80b3a3e76b3dd89e","train_loss","12","1765791598871","0.017650551534334726"
"large_20251215_095952","5c48ae05ed934b9a80b3a3e76b3dd89e","train_loss","13","1765792322259","0.017496436333073025"
"large_20251215_095952","5c48ae05ed934b9a80b3a3e76b3dd89e","train_loss","14","1765793077443","0.016934954557021004"
"large_20251215_095952","5c48ae05ed934b9a80b3a3e76b3dd89e","train_loss","15","1765793827943","0.01598748396825763"
"large_20251215_095952","5c48ae05ed934b9a80b3a3e76b3dd89e","train_loss","16","1765794546183","0.016129766723329046"
"large_20251215_095952","5c48ae05ed934b9a80b3a3e76b3dd89e","train_loss","17","1765795290904","0.015959728504203557"
